_id,CollegeName,university,col-list,CollegeCategory,ApprovedBy,CollegeCode,AffiliatedUniversity,EstablishedYear,CollegeType,InstitutionType,Address,PinCode,Location,District,ContactNumber1,ContactNumber2,Courses
842,Meenakshi University (Meenakshi College of Nursing),Tamil Nadu Dr. M.G.R. Medical University,"Meenakshi University (Meenakshi College of Nursing), Chennai",Nursing,INC,null,Tamil Nadu Dr. M.G.R. Medical University,null,Womens,Self Finance,"Meenakshi University (Meenakshi College of Nursing)

Alapakkam Main Road

Maduravoyal

Chennai",600 095,Chennai,Chennai,null,null,"B.Sc. - Nursing,M.Sc. - Medical Surgical Nursing"
843,Valluvar College of Science and Management,Bharathidasan University,"Valluvar College of Science and Management, Karur",Arts & Science,null,null,Bharathidasan University,null,Co-Education,Self Finance,"Valluvar College of Science and Management

New Bye Pass Road

Karur",,Karur,Karur,null,null,"B.Sc. - Fashion Technology,B.Sc. - Hotel Management & Catering Technology,B.Com. - (Regular),B.B.A. - Business Administration"
844,Immanuel Arasar J J College of Engineering,Anna University - Tirunelveli,"Immanuel Arasar J J College of Engineering, Marthandam, Kanyakumari",Engineering,null,4932,Anna University - Tirunelveli,2009,Co-Education,Self Finance,"Immanuel Arasar J J College of Engineering,

Edaivilagam,

Nattalam,

Marthandam,

Kanyakumari.",629 165,Marthandam,Kanyakumari,04651270853,null,"B.E. - Computer Science and Engineering,B.E. - Electrical and Electronics Engineering,B.E. - Electronics and Communication Engineering"
845,Jayanthi College of Education,Tamil Nadu Teachers Education University,"Jayanthi College of Education, Tiruppur, Tirupur",Teacher Education,NCTE,null,Tamil Nadu Teachers Education University,2007,Co-Education,Self Finance,"Jayanthi College of Education
Jayanthi Gardens
Arulpuram Post
Tiruppur",641 605,Tiruppur,Tiruppur,null,null,B.Ed. - Education
846,"College of Nursing, Madurai Medical College",Tamil Nadu Dr. M.G.R. Medical University,"College of Nursing, Madurai Medical College, Madurai",Nursing,INC,null,Tamil Nadu Dr. M.G.R. Medical University,null,Womens,Government,"College of Nursing, Madurai Medical College

Madurai",625 020,Madurai,Madurai,null,null,B.Sc. - Nursing
847,Mohamed Sathak Engineering College,Anna University - Trichy,"Mohamed Sathak Engineering College, Kilakarai, Ramnad",Engineering,AICTE,3907,Anna University - Trichy,1984,Co-Education,Self Finance,"Mohamed Sathak Engineering College,

East Coast Road,

Mayakulam,

Sathak Salai Post Office,

Kilakarai,

Ramanathapuram.",623 806,Kilakarai,Ramnad,04567-241327,04567-242327,"B.Tech. - Chemical Engineering,B.Tech. - Information Technology,B.E. - Aeronautical Engineering,B.E. - Civil Engineering,B.E. - Computer Science and Engineering,B.E. - Electrical and Electronics Engineering,B.E. - Electronics and Communication Engineering,B.E. - Marine Engineering,B.E. - Mechanical Engineering,B.Arch. - Architecture,M.E. - Applied Electronics,M.E. - Computer Science and Engineering,M.E. - Thermal Engineering"
848,Madha Dental College and Hospital,Tamil Nadu Dr. M.G.R. Medical University,"Madha Dental College and Hospital, Chennai",Dental,DCI,null,Tamil Nadu Dr. M.G.R. Medical University,2007,Co-Education,Self Finance,"Madha Dental College and Hospital

Madha Nagar

Kundrathur

Chennai",600 069,Chennai,Chennai,null,null,B.D.S. - Dental Surgery
849,Doctor's College of Nursing,Tamil Nadu Dr. M.G.R. Medical University,"Doctor's College of Nursing, Pudukottai",Nursing,INC,null,Tamil Nadu Dr. M.G.R. Medical University,2008,Co-Education,Self Finance,"Doctor's College of Nursing

No.85, Srinivasa Nagar

Machuvadi

Pudukottai",622 004,Pudukottai,Pudukottai,null,null,B.Sc. - Nursing
850,Ramasamy Tamil College,Alagappa University,"Ramasamy Tamil College, Karaikudi, Sivagangai",Arts & Science,null,null,Alagappa University,1967,Co-Education,Self Finance,"Ramasamy Tamil College

Eluppakudi Road

Karaikudi",630 003,Karaikudi,Sivagangai,null,null,B.Lit. - Tamil
851,Islamiah College,Tiruvalluvar University,"Islamiah College, Vellore",Arts & Science,NAAC,null,Tiruvalluvar University,1901,Co-Education,Aided,"Islamiah College

New Town

Vaniyambadi

Vellore",635 752,Vellore,Vellore,null,null,"B.Sc. - Bio-Chemistry,B.Sc. - Chemistry,B.Sc. - Computer Science,B.Sc. - Mathematics,B.Sc. - Physics,B.Sc. - Zoology,B.Com. - (Regular),B.Com. - Corporate Secretaryship,B.C.A. - Computer Application,B.B.A. - Business Administration,B.A. - Economics,B.A. - History,M.Sc. - Bio-Chemistry,M.Sc. - Chemistry,M.Sc. - Computer Science,M.Sc. - Mathematics,M.Sc. - Physics,M.Com. - (Regular),M.A. - History,Ph.D. - Chemistry,Ph.D. - Commerce,Ph.D. - History,Ph.D. - Mathematics,M.Phil. - Chemistry,M.Phil. - Commerce,M.Phil. - History,M.Phil. - Mathematics"
